SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SECTION 504,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2022-2023,194904,CLARKSVILLE ISD,8,TRADITIONAL ISD/CSD,522,361,0,38,495,58,20,0,38,-999,-999,45,87,522
STATE,DISTRICT,2022-2023,6902,CLAUDE ISD,16,TRADITIONAL ISD/CSD,328,92,0,24,112,-999,-999,-999,23,0,24,26,36,328
STATE,DISTRICT,2022-2023,84910,CLEAR CREEK ISD,4,TRADITIONAL ISD/CSD,40693,19239,2097,1889,15115,5331,3223,47,5359,635,1349,2218,5723,11440
STATE,DISTRICT,2022-2023,126903,CLEBURNE ISD,11,TRADITIONAL ISD/CSD,7243,3987,602,492,5162,1666,812,11,523,232,170,567,925,5247
STATE,DISTRICT,2022-2023,146901,CLEVELAND ISD,4,TRADITIONAL ISD/CSD,11567,9029,1399,353,10923,6930,1663,13,490,113,71,400,1103,11337
STATE,DISTRICT,2022-2023,18901,CLIFTON ISD,12,TRADITIONAL ISD/CSD,1024,451,0,74,588,85,79,-999,43,14,76,118,181,1024
STATE,DISTRICT,2022-2023,71901,CLINT ISD,19,TRADITIONAL ISD/CSD,10365,6851,1937,107,8795,4363,1837,-999,411,217,493,297,1340,10364
STATE,DISTRICT,2022-2023,30902,CLYDE CISD,14,TRADITIONAL ISD/CSD,1440,490,0,62,700,13,13,-999,75,35,61,87,220,1011
STATE,DISTRICT,2022-2023,114902,COAHOMA ISD,18,TRADITIONAL ISD/CSD,1095,510,0,72,432,38,36,0,46,0,0,89,132,568
STATE,DISTRICT,2022-2023,204901,COLDSPRING-OAKHURST CISD,6,TRADITIONAL ISD/CSD,1622,473,0,55,1007,29,28,-999,116,14,-999,90,241,1622
STATE,DISTRICT,2022-2023,42901,COLEMAN ISD,15,TRADITIONAL ISD/CSD,794,290,0,103,460,15,15,-999,18,15,-999,112,138,794
STATE,DISTRICT,2022-2023,21901,COLLEGE STATION ISD,6,TRADITIONAL ISD/CSD,14464,5440,908,1012,5898,1498,748,32,1561,62,57,1520,2134,4192
STATE,DISTRICT,2022-2023,91902,COLLINSVILLE ISD,10,TRADITIONAL ISD/CSD,537,152,0,49,287,33,31,-999,19,-999,29,51,98,298
STATE,DISTRICT,2022-2023,229901,COLMESNEIL ISD,5,TRADITIONAL ISD/CSD,452,47,0,27,342,0,0,-999,0,-999,17,46,49,452
STATE,DISTRICT,2022-2023,168901,COLORADO ISD,14,TRADITIONAL ISD/CSD,949,575,0,56,609,48,47,-999,13,-999,11,64,132,949
STATE,DISTRICT,2022-2023,20907,COLUMBIA-BRAZORIA ISD,4,TRADITIONAL ISD/CSD,2927,1460,0,262,1921,261,99,17,190,56,-999,358,480,1365
STATE,DISTRICT,2022-2023,45902,COLUMBUS ISD,4,TRADITIONAL ISD/CSD,1610,831,15,55,997,253,75,-999,47,16,-999,117,249,739
STATE,DISTRICT,2022-2023,46902,COMAL ISD,20,TRADITIONAL ISD/CSD,28511,10997,490,1615,8958,1704,844,65,3230,255,3859,2560,4269,5494
STATE,DISTRICT,2022-2023,47901,COMANCHE ISD,14,TRADITIONAL ISD/CSD,1339,708,44,77,845,206,141,-999,74,32,28,74,187,658
STATE,DISTRICT,2022-2023,130902,COMFORT ISD,13,TRADITIONAL ISD/CSD,1104,637,0,51,613,182,157,0,69,12,-999,91,175,1104
STATE,DISTRICT,2022-2023,116903,COMMERCE ISD,10,TRADITIONAL ISD/CSD,1517,935,0,134,1135,192,150,-999,90,-999,60,137,268,721
STATE,DISTRICT,2022-2023,43918,COMMUNITY ISD,10,TRADITIONAL ISD/CSD,4143,2344,349,241,2212,925,302,10,217,28,35,362,535,1628
STATE,DISTRICT,2022-2023,112908,COMO-PICKTON CISD,8,TRADITIONAL ISD/CSD,734,428,0,48,474,179,124,11,34,-999,24,84,130,733
STATE,DISTRICT,2022-2023,68802,COMPASS ACADEMY CHARTER SCHOOL,18,OPEN ENROLLMENT CHARTER,1399,18,0,89,92,-999,-999,0,-999,0,-999,100,142,27
