SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,CTE,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2019-2020,166901,CAMERON ISD,6,TRADITIONAL ISD/CSD,1725,839,69,505,104,1288,203,90,-999,65,33,-999,142,1725
STATE,DISTRICT,2019-2020,116910,CAMPBELL ISD,10,TRADITIONAL ISD/CSD,302,34,0,112,12,214,17,17,-999,23,0,19,67,137
STATE,DISTRICT,2019-2020,106901,CANADIAN ISD,16,TRADITIONAL ISD/CSD,882,290,0,382,100,357,110,107,-999,47,0,0,76,618
STATE,DISTRICT,2019-2020,234902,CANTON ISD,10,TRADITIONAL ISD/CSD,2199,638,0,761,178,883,71,71,17,130,16,28,198,1563
STATE,DISTRICT,2019-2020,71907,CANUTILLO ISD,19,TRADITIONAL ISD/CSD,6256,3567,1334,2450,100,3996,1962,858,-999,667,112,285,635,6256
STATE,DISTRICT,2019-2020,191901,CANYON ISD,16,TRADITIONAL ISD/CSD,10381,3319,0,2753,412,3267,210,198,53,354,85,169,1257,3189
STATE,DISTRICT,2019-2020,201913,CARLISLE ISD,7,TRADITIONAL ISD/CSD,624,287,0,186,33,475,211,134,-999,31,0,-999,69,624
STATE,DISTRICT,2019-2020,64903,CARRIZO SPRINGS CISD,20,TRADITIONAL ISD/CSD,2133,1264,56,654,144,1593,126,37,-999,156,66,11,190,2133
STATE,DISTRICT,2019-2020,220919,CARROLL ISD,11,TRADITIONAL ISD/CSD,8525,1141,0,2118,384,117,246,246,12,2079,-999,180,691,65
STATE,DISTRICT,2019-2020,57903,CARROLLTON-FARMERS BRANCH ISD,10,TRADITIONAL ISD/CSD,25611,13237,3286,5110,641,16458,8239,4420,19,2220,181,-999,3412,22786
STATE,DISTRICT,2019-2020,183902,CARTHAGE ISD,7,TRADITIONAL ISD/CSD,2702,1145,0,885,83,1589,237,235,-999,152,-999,39,332,2700
STATE,DISTRICT,2019-2020,220917,CASTLEBERRY ISD,11,TRADITIONAL ISD/CSD,3649,2517,602,1311,123,3079,1223,553,-999,215,-999,16,441,3649
STATE,DISTRICT,2019-2020,1902,CAYUGA ISD,7,TRADITIONAL ISD/CSD,557,232,0,165,29,228,-999,-999,0,39,-999,-999,82,557
STATE,DISTRICT,2019-2020,57904,CEDAR HILL ISD,10,TRADITIONAL ISD/CSD,7625,3085,303,2998,160,5206,627,172,116,408,-999,107,641,4845
STATE,DISTRICT,2019-2020,227817,CEDARS INTERNATIONAL ACADEMY,13,OPEN ENROLLMENT CHARTER,501,266,71,108,34,427,221,150,0,11,-999,0,49,392
STATE,DISTRICT,2019-2020,116902,CELESTE ISD,10,TRADITIONAL ISD/CSD,506,152,0,168,37,272,17,-999,-999,26,-999,-999,73,334
STATE,DISTRICT,2019-2020,43903,CELINA ISD,10,TRADITIONAL ISD/CSD,2831,820,110,845,124,605,182,73,-999,157,17,63,295,820
STATE,DISTRICT,2019-2020,210901,CENTER ISD,7,TRADITIONAL ISD/CSD,2662,1703,127,718,139,2150,799,441,-999,83,-999,-999,318,2656
STATE,DISTRICT,2019-2020,133901,CENTER POINT ISD,20,TRADITIONAL ISD/CSD,591,354,0,208,22,402,113,113,-999,21,-999,-999,79,586
STATE,DISTRICT,2019-2020,145902,CENTERVILLE ISD,6,TRADITIONAL ISD/CSD,665,240,0,254,85,321,23,23,-999,12,31,13,64,385
STATE,DISTRICT,2019-2020,228904,CENTERVILLE ISD,6,TRADITIONAL ISD/CSD,147,0,0,59,10,99,0,0,0,-999,0,0,16,147
STATE,DISTRICT,2019-2020,174908,CENTRAL HEIGHTS ISD,7,TRADITIONAL ISD/CSD,1176,395,0,374,41,440,64,65,-999,57,0,10,85,525
STATE,DISTRICT,2019-2020,3907,CENTRAL ISD,7,TRADITIONAL ISD/CSD,1469,499,0,504,29,874,61,58,-999,63,17,0,220,1469
STATE,DISTRICT,2019-2020,101905,CHANNELVIEW ISD,4,TRADITIONAL ISD/CSD,9727,5993,2050,3527,183,7913,3412,1192,10,428,62,-999,1021,6888
STATE,DISTRICT,2019-2020,103901,CHANNING ISD,16,TRADITIONAL ISD/CSD,162,88,0,53,11,116,19,19,0,-999,-999,0,22,162
STATE,DISTRICT,2019-2020,227814,CHAPARRAL STAR ACADEMY,13,OPEN ENROLLMENT CHARTER,376,66,0,114,-999,0,36,32,0,0,0,0,-999,0
STATE,DISTRICT,2019-2020,220815,CHAPEL HILL ACADEMY,11,OPEN ENROLLMENT CHARTER,734,317,0,0,23,443,60,56,-999,44,0,21,59,734
STATE,DISTRICT,2019-2020,212909,CHAPEL HILL ISD,7,TRADITIONAL ISD/CSD,3528,2150,451,1469,300,2621,837,373,14,251,34,19,417,1691
STATE,DISTRICT,2019-2020,225906,CHAPEL HILL ISD,8,TRADITIONAL ISD/CSD,1056,329,0,444,90,465,158,156,-999,80,-999,0,105,1056
STATE,DISTRICT,2019-2020,7901,CHARLOTTE ISD,20,TRADITIONAL ISD/CSD,452,337,0,164,0,323,25,23,0,24,0,-999,64,452
STATE,DISTRICT,2019-2020,206903,CHEROKEE ISD,15,TRADITIONAL ISD/CSD,106,37,0,47,-999,53,0,0,-999,-999,0,0,12,106
STATE,DISTRICT,2019-2020,229906,CHESTER ISD,5,TRADITIONAL ISD/CSD,203,103,0,55,13,109,0,0,0,-999,0,0,27,203
STATE,DISTRICT,2019-2020,249904,CHICO ISD,11,TRADITIONAL ISD/CSD,596,229,0,183,30,337,55,55,-999,42,-999,-999,64,298
STATE,DISTRICT,2019-2020,38901,CHILDRESS ISD,16,TRADITIONAL ISD/CSD,1090,389,0,271,25,592,38,38,-999,64,10,15,143,1090
STATE,DISTRICT,2019-2020,99902,CHILLICOTHE ISD,9,TRADITIONAL ISD/CSD,202,71,0,80,-999,173,43,43,0,11,0,0,26,202
STATE,DISTRICT,2019-2020,73901,CHILTON ISD,12,TRADITIONAL ISD/CSD,537,369,0,133,20,440,115,98,-999,30,12,-999,67,537
STATE,DISTRICT,2019-2020,161920,CHINA SPRING ISD,12,TRADITIONAL ISD/CSD,2929,658,0,776,254,900,47,46,-999,267,-999,76,320,970
STATE,DISTRICT,2019-2020,174901,CHIRENO ISD,7,TRADITIONAL ISD/CSD,384,205,0,98,13,232,41,40,0,45,0,-999,47,384
STATE,DISTRICT,2019-2020,139905,CHISUM ISD,8,TRADITIONAL ISD/CSD,1074,490,0,382,98,566,53,46,-999,41,62,11,116,1074
STATE,DISTRICT,2019-2020,226901,CHRISTOVAL ISD,15,TRADITIONAL ISD/CSD,539,148,0,184,25,147,0,0,-999,24,-999,16,68,242
STATE,DISTRICT,2019-2020,67902,CISCO ISD,14,TRADITIONAL ISD/CSD,845,270,0,221,59,506,10,10,-999,37,56,43,124,639
STATE,DISTRICT,2019-2020,243906,CITY VIEW ISD,9,TRADITIONAL ISD/CSD,1072,611,0,382,36,794,27,27,-999,72,15,50,185,1072
STATE,DISTRICT,2019-2020,57841,CITYSCAPE SCHOOLS,10,OPEN ENROLLMENT CHARTER,1152,985,323,0,-999,1001,552,-999,16,0,-999,-999,64,1152
STATE,DISTRICT,2019-2020,65901,CLARENDON ISD,16,TRADITIONAL ISD/CSD,453,167,0,114,33,228,0,0,11,44,12,-999,61,453
STATE,DISTRICT,2019-2020,194904,CLARKSVILLE ISD,8,TRADITIONAL ISD/CSD,530,398,0,164,31,486,46,42,-999,35,-999,-999,57,530
STATE,DISTRICT,2019-2020,6902,CLAUDE ISD,16,TRADITIONAL ISD/CSD,331,100,0,122,18,122,-999,-999,0,16,-999,-999,36,331
STATE,DISTRICT,2019-2020,84910,CLEAR CREEK ISD,4,TRADITIONAL ISD/CSD,42388,17343,2084,13605,1087,11982,5342,3290,54,4806,609,1020,4864,11672
STATE,DISTRICT,2019-2020,126903,CLEBURNE ISD,11,TRADITIONAL ISD/CSD,6902,4170,565,2324,409,4449,1430,931,52,621,210,133,792,5028
STATE,DISTRICT,2019-2020,146901,CLEVELAND ISD,4,TRADITIONAL ISD/CSD,7589,4925,1669,2237,158,6824,3566,1278,-999,383,217,-999,618,7477
STATE,DISTRICT,2019-2020,18901,CLIFTON ISD,12,TRADITIONAL ISD/CSD,1021,425,0,287,31,611,74,74,-999,40,49,21,145,1021
STATE,DISTRICT,2019-2020,71901,CLINT ISD,19,TRADITIONAL ISD/CSD,11222,7014,2377,3293,78,9679,4412,1160,10,509,159,284,1127,11222
STATE,DISTRICT,2019-2020,30902,CLYDE CISD,14,TRADITIONAL ISD/CSD,1460,635,0,514,60,733,-999,-999,-999,73,22,32,204,1042
STATE,DISTRICT,2019-2020,114902,COAHOMA ISD,18,TRADITIONAL ISD/CSD,1125,406,0,344,74,449,24,24,-999,85,-999,-999,110,588
STATE,DISTRICT,2019-2020,204901,COLDSPRING-OAKHURST CISD,6,TRADITIONAL ISD/CSD,1565,921,0,561,57,964,22,21,-999,86,62,10,198,1565
STATE,DISTRICT,2019-2020,42901,COLEMAN ISD,15,TRADITIONAL ISD/CSD,822,405,0,252,105,502,18,18,-999,23,15,-999,100,596
STATE,DISTRICT,2019-2020,21901,COLLEGE STATION ISD,6,TRADITIONAL ISD/CSD,13936,5448,908,3555,765,5293,1218,625,45,1588,68,50,1742,2700
STATE,DISTRICT,2019-2020,91902,COLLINSVILLE ISD,10,TRADITIONAL ISD/CSD,522,102,0,197,30,377,26,26,0,25,-999,-999,63,258
STATE,DISTRICT,2019-2020,229901,COLMESNEIL ISD,5,TRADITIONAL ISD/CSD,490,170,0,191,15,292,0,0,0,-999,-999,-999,64,490
STATE,DISTRICT,2019-2020,168901,COLORADO ISD,14,TRADITIONAL ISD/CSD,960,651,0,267,43,559,40,35,-999,27,-999,-999,120,960
STATE,DISTRICT,2019-2020,20907,COLUMBIA-BRAZORIA ISD,4,TRADITIONAL ISD/CSD,3000,1483,0,968,289,1744,234,46,18,136,100,16,340,1664
STATE,DISTRICT,2019-2020,45902,COLUMBUS ISD,3,TRADITIONAL ISD/CSD,1543,769,0,464,53,942,222,73,0,40,26,-999,220,725
STATE,DISTRICT,2019-2020,46902,COMAL ISD,20,TRADITIONAL ISD/CSD,25089,8331,657,7686,1113,7531,1357,704,115,2886,181,1796,3054,4352
STATE,DISTRICT,2019-2020,47901,COMANCHE ISD,14,TRADITIONAL ISD/CSD,1392,744,76,374,62,964,205,116,19,71,53,27,163,672
STATE,DISTRICT,2019-2020,130902,COMFORT ISD,13,TRADITIONAL ISD/CSD,1088,430,0,347,44,616,141,123,0,45,-999,0,154,1088
STATE,DISTRICT,2019-2020,116903,COMMERCE ISD,10,TRADITIONAL ISD/CSD,1524,898,0,574,69,1056,156,108,-999,92,-999,40,208,710
STATE,DISTRICT,2019-2020,43918,COMMUNITY ISD,10,TRADITIONAL ISD/CSD,2560,893,228,756,193,1236,498,264,-999,182,54,16,314,1284
STATE,DISTRICT,2019-2020,112908,COMO-PICKTON CISD,8,TRADITIONAL ISD/CSD,732,384,11,223,50,532,193,89,0,33,17,-999,108,732
STATE,DISTRICT,2019-2020,68802,COMPASS ACADEMY CHARTER SCHOOL,18,OPEN ENROLLMENT CHARTER,1234,67,0,49,65,146,-999,-999,-999,12,0,0,106,30
STATE,DISTRICT,2019-2020,15838,COMPASS ROSE ACADEMY,20,OPEN ENROLLMENT CHARTER,369,184,0,279,11,331,49,-999,0,0,0,-999,39,369
STATE,DISTRICT,2019-2020,101842,COMQUEST ACADEMY,4,OPEN ENROLLMENT CHARTER,55,42,-999,40,-999,28,16,11,0,0,0,0,-999,55
STATE,DISTRICT,2019-2020,233903,COMSTOCK ISD,15,TRADITIONAL ISD/CSD,205,68,0,75,-999,66,-999,0,0,11,0,17,17,204
STATE,DISTRICT,2019-2020,161921,CONNALLY ISD,12,TRADITIONAL ISD/CSD,2431,1323,0,971,200,1964,255,49,19,127,19,-999,226,1805
STATE,DISTRICT,2019-2020,170902,CONROE ISD,6,TRADITIONAL ISD/CSD,64799,24418,4767,16309,3118,25475,9887,4779,157,4946,451,324,5829,19965
STATE,DISTRICT,2019-2020,147901,COOLIDGE ISD,12,TRADITIONAL ISD/CSD,289,65,0,97,22,223,38,38,0,-999,0,-999,48,289
STATE,DISTRICT,2019-2020,60902,COOPER ISD,8,TRADITIONAL ISD/CSD,799,291,0,291,73,465,17,15,-999,99,-999,-999,93,798
STATE,DISTRICT,2019-2020,57922,COPPELL ISD,10,TRADITIONAL ISD/CSD,13218,3221,426,3088,553,1173,1854,1594,-999,1954,30,41,1060,5356
STATE,DISTRICT,2019-2020,50910,COPPERAS COVE ISD,12,TRADITIONAL ISD/CSD,8477,4141,65,2173,674,4743,441,322,61,440,109,2048,987,4276
STATE,DISTRICT,2019-2020,178904,CORPUS CHRISTI ISD,2,TRADITIONAL ISD/CSD,36618,18681,1084,8047,1320,24922,2339,811,100,1092,856,689,3900,35574
STATE,DISTRICT,2019-2020,178807,CORPUS CHRISTI MONTESSORI SCHOOL,2,OPEN ENROLLMENT CHARTER,140,41,0,0,-999,19,-999,-999,-999,0,0,-999,19,0
STATE,DISTRICT,2019-2020,187904,CORRIGAN-CAMDEN ISD,6,TRADITIONAL ISD/CSD,820,488,0,301,55,592,94,88,-999,79,0,-999,79,820
STATE,DISTRICT,2019-2020,175903,CORSICANA ISD,12,TRADITIONAL ISD/CSD,6047,3502,522,1694,456,4689,1568,1105,37,471,66,50,640,6047
STATE,DISTRICT,2019-2020,95902,COTTON CENTER ISD,17,TRADITIONAL ISD/CSD,100,31,0,39,-999,81,-999,-999,0,-999,-999,0,11,100
STATE,DISTRICT,2019-2020,142901,COTULLA ISD,20,TRADITIONAL ISD/CSD,1321,645,0,474,138,1187,93,81,-999,110,15,-999,197,1321
STATE,DISTRICT,2019-2020,246914,COUPLAND ISD,13,TRADITIONAL ISD/CSD,163,66,0,20,-999,70,20,20,0,16,0,-999,15,53
STATE,DISTRICT,2019-2020,109903,COVINGTON ISD,12,TRADITIONAL ISD/CSD,301,126,0,106,-999,171,-999,-999,0,12,16,-999,38,301
STATE,DISTRICT,2019-2020,129901,CRANDALL ISD,10,TRADITIONAL ISD/CSD,4592,1956,88,1254,219,2422,619,379,19,256,-999,102,547,1984
STATE,DISTRICT,2019-2020,52901,CRANE ISD,18,TRADITIONAL ISD/CSD,1174,485,0,312,55,510,235,226,-999,78,0,-999,107,846
STATE,DISTRICT,2019-2020,18908,CRANFILLS GAP ISD,12,TRADITIONAL ISD/CSD,128,77,0,55,-999,88,-999,-999,0,0,14,0,21,128
STATE,DISTRICT,2019-2020,161901,CRAWFORD ISD,12,TRADITIONAL ISD/CSD,581,167,0,172,44,144,-999,-999,0,26,0,-999,64,581
STATE,DISTRICT,2019-2020,53001,CROCKETT COUNTY CONSOLIDATED CSD,15,TRADITIONAL ISD/CSD,811,460,0,317,38,379,135,135,13,51,31,-999,70,811
STATE,DISTRICT,2019-2020,113901,CROCKETT ISD,6,TRADITIONAL ISD/CSD,1309,682,-999,450,86,1159,237,95,-999,52,17,-999,163,1308
STATE,DISTRICT,2019-2020,101906,CROSBY ISD,4,TRADITIONAL ISD/CSD,6452,3369,591,2265,191,3408,973,334,19,323,121,255,679,6427
STATE,DISTRICT,2019-2020,54901,CROSBYTON CISD,17,TRADITIONAL ISD/CSD,332,152,0,93,14,267,-999,-999,0,18,0,0,42,332
STATE,DISTRICT,2019-2020,30901,CROSS PLAINS ISD,14,TRADITIONAL ISD/CSD,359,191,0,125,27,244,-999,-999,0,21,-999,0,42,204
STATE,DISTRICT,2019-2020,107904,CROSS ROADS ISD,7,TRADITIONAL ISD/CSD,537,208,0,182,52,297,15,15,-999,22,0,-999,65,537
STATE,DISTRICT,2019-2020,184801,CROSSTIMBERS ACADEMY,11,OPEN ENROLLMENT CHARTER,143,118,0,143,-999,64,-999,-999,0,0,0,-999,12,143
STATE,DISTRICT,2019-2020,78901,CROWELL ISD,9,TRADITIONAL ISD/CSD,230,70,0,106,10,178,-999,0,-999,13,0,0,45,230
STATE,DISTRICT,2019-2020,220912,CROWLEY ISD,11,TRADITIONAL ISD/CSD,15996,8718,1161,4652,799,11428,2742,1596,73,1147,78,66,1710,15995
STATE,DISTRICT,2019-2020,254901,CRYSTAL CITY ISD,20,TRADITIONAL ISD/CSD,1910,1052,0,494,114,1628,43,35,-999,123,104,-999,245,1908
STATE,DISTRICT,2019-2020,62901,CUERO ISD,3,TRADITIONAL ISD/CSD,1965,1009,0,771,112,1240,75,72,11,91,73,23,286,1350
STATE,DISTRICT,2019-2020,55901,CULBERSON COUNTY-ALLAMOORE ISD,18,TRADITIONAL ISD/CSD,386,187,0,183,-999,303,30,29,-999,23,15,0,34,386
STATE,DISTRICT,2019-2020,212801,CUMBERLAND ACADEMY,7,OPEN ENROLLMENT CHARTER,1988,536,0,693,206,966,171,127,-999,0,0,21,166,1045
STATE,DISTRICT,2019-2020,112905,CUMBY ISD,8,TRADITIONAL ISD/CSD,396,101,0,178,38,230,17,14,0,18,-999,0,65,396
STATE,DISTRICT,2019-2020,174902,CUSHING ISD,7,TRADITIONAL ISD/CSD,562,252,0,162,33,318,27,26,-999,41,-999,22,68,562
STATE,DISTRICT,2019-2020,101907,CYPRESS-FAIRBANKS ISD,4,TRADITIONAL ISD/CSD,117446,55219,6080,37281,2271,63628,16302,9549,294,7531,572,605,11234,51443
STATE,DISTRICT,2019-2020,163902,D'HANIS ISD,20,TRADITIONAL ISD/CSD,353,120,0,130,18,134,-999,-999,0,41,0,-999,37,353
STATE,DISTRICT,2019-2020,172902,DAINGERFIELD-LONE STAR ISD,8,TRADITIONAL ISD/CSD,1020,522,0,280,62,854,103,102,-999,37,40,-999,171,1020
STATE,DISTRICT,2019-2020,56901,DALHART ISD,16,TRADITIONAL ISD/CSD,1691,705,52,454,71,1140,371,307,-999,63,12,-999,157,1691
STATE,DISTRICT,2019-2020,57905,DALLAS ISD,10,TRADITIONAL ISD/CSD,153861,100315,39123,35608,3758,132106,70093,28649,76,21922,2674,34,14498,149018
STATE,DISTRICT,2019-2020,20910,DAMON ISD,4,TRADITIONAL ISD/CSD,114,35,0,0,-999,106,23,22,0,-999,0,0,28,114
STATE,DISTRICT,2019-2020,20904,DANBURY ISD,4,TRADITIONAL ISD/CSD,798,239,0,312,36,258,32,32,-999,53,0,-999,94,340
STATE,DISTRICT,2019-2020,148905,DARROUZETT ISD,16,TRADITIONAL ISD/CSD,138,51,0,71,-999,102,26,26,-999,-999,-999,-999,17,138
STATE,DISTRICT,2019-2020,175904,DAWSON ISD,12,TRADITIONAL ISD/CSD,563,174,0,199,34,405,30,30,-999,43,0,-999,66,563
STATE,DISTRICT,2019-2020,58902,DAWSON ISD,17,TRADITIONAL ISD/CSD,138,69,0,24,-999,99,-999,-999,0,-999,-999,-999,13,138
STATE,DISTRICT,2019-2020,146902,DAYTON ISD,4,TRADITIONAL ISD/CSD,5564,3236,384,1412,108,3635,1102,418,18,238,111,38,598,5560
STATE,DISTRICT,2019-2020,47902,DE LEON ISD,14,TRADITIONAL ISD/CSD,745,288,0,264,59,459,42,42,-999,45,10,-999,71,745
STATE,DISTRICT,2019-2020,249905,DECATUR ISD,11,TRADITIONAL ISD/CSD,3464,1654,247,996,256,1529,471,217,10,314,19,17,434,1388
STATE,DISTRICT,2019-2020,101908,DEER PARK ISD,4,TRADITIONAL ISD/CSD,12766,5045,1018,3162,782,6072,1497,779,12,847,85,88,1594,5553
STATE,DISTRICT,2019-2020,19901,DEKALB ISD,8,TRADITIONAL ISD/CSD,810,289,0,368,71,520,41,40,0,57,11,-999,89,808
STATE,DISTRICT,2019-2020,227910,DEL VALLE ISD,13,TRADITIONAL ISD/CSD,10968,8472,1782,3794,626,9636,4715,1786,44,582,109,20,1635,10808
STATE,DISTRICT,2019-2020,115903,DELL CITY ISD,19,TRADITIONAL ISD/CSD,67,24,0,26,0,54,20,20,0,-999,0,0,-999,67
STATE,DISTRICT,2019-2020,91903,DENISON ISD,10,TRADITIONAL ISD/CSD,4750,1822,146,1450,273,2953,349,172,10,158,31,32,723,1958
STATE,DISTRICT,2019-2020,61901,DENTON ISD,11,TRADITIONAL ISD/CSD,30919,9937,2228,9784,1689,14216,4775,2679,156,3349,525,315,3679,7602
STATE,DISTRICT,2019-2020,251901,DENVER CITY ISD,17,TRADITIONAL ISD/CSD,1676,974,191,536,33,994,325,130,-999,72,0,-999,127,781
STATE,DISTRICT,2019-2020,57906,DESOTO ISD,10,TRADITIONAL ISD/CSD,8633,4065,297,2588,106,6966,706,252,138,614,-999,-999,855,5676
STATE,DISTRICT,2019-2020,194905,DETROIT ISD,8,TRADITIONAL ISD/CSD,522,196,0,178,67,335,-999,-999,0,41,-999,-999,67,522
STATE,DISTRICT,2019-2020,146903,DEVERS ISD,4,TRADITIONAL ISD/CSD,198,53,0,0,-999,75,24,24,0,10,14,-999,16,196
STATE,DISTRICT,2019-2020,163901,DEVINE ISD,20,TRADITIONAL ISD/CSD,1973,922,0,610,140,1056,87,82,13,108,27,48,258,975
STATE,DISTRICT,2019-2020,81906,DEW ISD,12,TRADITIONAL ISD/CSD,179,55,0,11,17,111,-999,-999,-999,-999,0,-999,14,179
STATE,DISTRICT,2019-2020,176903,DEWEYVILLE ISD,5,TRADITIONAL ISD/CSD,540,290,0,232,-999,326,0,0,-999,31,28,33,89,539
STATE,DISTRICT,2019-2020,3905,DIBOLL ISD,7,TRADITIONAL ISD/CSD,1803,970,66,493,87,1795,296,224,14,65,45,16,203,1797
STATE,DISTRICT,2019-2020,84901,DICKINSON ISD,4,TRADITIONAL ISD/CSD,11655,6775,526,2524,469,7350,1964,576,53,644,135,188,1572,11551
STATE,DISTRICT,2019-2020,82902,DILLEY ISD,20,TRADITIONAL ISD/CSD,982,585,0,231,36,801,45,45,-999,69,121,-999,171,982
STATE,DISTRICT,2019-2020,144903,DIME BOX ISD,13,TRADITIONAL ISD/CSD,164,32,-999,72,-999,116,18,18,-999,13,0,-999,26,164
STATE,DISTRICT,2019-2020,35901,DIMMITT ISD,16,TRADITIONAL ISD/CSD,1233,691,84,355,16,882,278,71,-999,63,-999,-999,100,1233
STATE,DISTRICT,2019-2020,133905,DIVIDE ISD,20,TRADITIONAL ISD/CSD,24,0,0,0,0,0,0,0,0,0,0,0,-999,0
STATE,DISTRICT,2019-2020,74904,DODD CITY ISD,10,TRADITIONAL ISD/CSD,354,86,0,121,-999,122,-999,-999,0,11,-999,11,31,354
STATE,DISTRICT,2019-2020,108902,DONNA ISD,1,TRADITIONAL ISD/CSD,14400,11414,3689,4357,86,13541,7581,3320,11,1069,887,15,1410,14400
STATE,DISTRICT,2019-2020,86024,DOSS CONSOLIDATED CSD,13,TRADITIONAL ISD/CSD,30,-999,0,0,0,0,0,0,0,-999,0,0,0,0
STATE,DISTRICT,2019-2020,174911,DOUGLASS ISD,7,TRADITIONAL ISD/CSD,460,75,0,153,23,169,27,24,-999,29,0,10,42,0
STATE,DISTRICT,2019-2020,178801,DR M L GARZA-GONZALEZ CHARTER SCHO,2,OPEN ENROLLMENT CHARTER,230,194,0,72,-999,225,43,43,0,0,-999,0,17,230
STATE,DISTRICT,2019-2020,101856,DRAW ACADEMY,4,OPEN ENROLLMENT CHARTER,675,605,-999,0,0,664,602,-999,0,0,0,0,20,675
STATE,DISTRICT,2019-2020,105904,DRIPPING SPRINGS ISD,13,TRADITIONAL ISD/CSD,7210,1566,106,1554,426,662,351,240,21,482,-999,39,813,1630
STATE,DISTRICT,2019-2020,178905,DRISCOLL ISD,2,TRADITIONAL ISD/CSD,303,96,0,20,-999,259,-999,-999,0,18,11,24,31,303
STATE,DISTRICT,2019-2020,72902,DUBLIN ISD,11,TRADITIONAL ISD/CSD,1126,425,16,302,73,810,216,199,0,101,0,-999,85,1126
STATE,DISTRICT,2019-2020,171901,DUMAS ISD,16,TRADITIONAL ISD/CSD,4317,2536,111,1089,94,2854,1463,605,-999,212,92,10,436,2517
STATE,DISTRICT,2019-2020,57907,DUNCANVILLE ISD,10,TRADITIONAL ISD/CSD,12426,8687,1389,6028,233,9941,2370,545,42,624,26,207,1185,7894
STATE,DISTRICT,2019-2020,220918,EAGLE MT-SAGINAW ISD,11,TRADITIONAL ISD/CSD,21024,9063,605,5253,687,9182,2399,1690,61,1448,219,868,2239,6626
STATE,DISTRICT,2019-2020,159901,EAGLE PASS ISD,20,TRADITIONAL ISD/CSD,14500,8925,3834,3668,362,11480,5648,1597,-999,928,128,45,1560,14499
STATE,DISTRICT,2019-2020,227909,EANES ISD,13,TRADITIONAL ISD/CSD,8166,862,430,1749,475,271,169,139,-999,863,0,67,764,99
STATE,DISTRICT,2019-2020,25909,EARLY ISD,15,TRADITIONAL ISD/CSD,1199,464,0,339,91,669,18,18,21,69,35,43,124,832
STATE,DISTRICT,2019-2020,241902,EAST BERNARD ISD,3,TRADITIONAL ISD/CSD,941,278,0,295,40,345,38,37,-999,88,0,-999,75,376
STATE,DISTRICT,2019-2020,15911,EAST CENTRAL ISD,20,TRADITIONAL ISD/CSD,10146,5860,842,2516,637,6600,1252,466,83,661,98,248,1187,6908
STATE,DISTRICT,2019-2020,36903,EAST CHAMBERS ISD,5,TRADITIONAL ISD/CSD,1535,854,60,544,66,1078,373,215,0,85,391,-999,148,749
STATE,DISTRICT,2019-2020,220811,EAST FORT WORTH MONTESSORI ACADEMY,11,OPEN ENROLLMENT CHARTER,247,148,0,0,-999,201,71,71,-999,-999,0,0,14,247
STATE,DISTRICT,2019-2020,92801,EAST TEXAS CHARTER SCHOOLS,7,OPEN ENROLLMENT CHARTER,147,113,0,106,11,47,0,0,0,0,0,0,12,0
STATE,DISTRICT,2019-2020,67903,EASTLAND ISD,14,TRADITIONAL ISD/CSD,1120,562,0,306,70,623,84,71,-999,68,48,-999,117,793
STATE,DISTRICT,2019-2020,68901,ECTOR COUNTY ISD,18,TRADITIONAL ISD/CSD,33822,20394,3763,8486,1032,18627,6970,1249,195,2877,1737,385,3084,23987
STATE,DISTRICT,2019-2020,74905,ECTOR ISD,10,TRADITIONAL ISD/CSD,277,104,0,103,39,162,0,0,-999,-999,-999,-999,53,277
STATE,DISTRICT,2019-2020,108903,EDCOUCH-ELSA ISD,1,TRADITIONAL ISD/CSD,4912,3183,694,1634,131,4720,1327,607,0,555,61,34,500,4912
STATE,DISTRICT,2019-2020,48901,EDEN CISD,15,TRADITIONAL ISD/CSD,223,123,0,91,-999,143,12,12,-999,-999,-999,0,47,223
STATE,DISTRICT,2019-2020,234903,EDGEWOOD ISD,7,TRADITIONAL ISD/CSD,978,335,0,310,75,463,17,16,0,93,-999,-999,145,417
STATE,DISTRICT,2019-2020,15905,EDGEWOOD ISD,20,TRADITIONAL ISD/CSD,9887,7538,1257,2642,482,9266,2187,828,48,529,263,25,1130,9879
STATE,DISTRICT,2019-2020,108904,EDINBURG CISD,1,TRADITIONAL ISD/CSD,34327,20139,7066,9021,325,29511,12036,4870,45,2459,21,104,2377,34007
STATE,DISTRICT,2019-2020,120901,EDNA ISD,3,TRADITIONAL ISD/CSD,1583,594,0,420,82,997,153,133,-999,122,21,-999,191,1580
STATE,DISTRICT,2019-2020,57833,EDUCATION CENTER INTERNATIONAL ACA,10,OPEN ENROLLMENT CHARTER,627,160,0,0,38,308,54,51,-999,25,0,-999,60,625
STATE,DISTRICT,2019-2020,123805,EHRHART SCHOOL,5,OPEN ENROLLMENT CHARTER,458,319,0,0,12,412,266,265,-999,16,19,-999,40,458
